letter,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
N,0.521446,0.715534,-0.013836,0.610933,0.735495,-0.007495,0.611232,0.763048,-0.013367,0.64268,0.7946,-7.9e-05,0.687561,0.81218,0.013212,0.581074,0.741101,-0.005834,0.612913,0.785324,0.016988,0.643056,0.782,-0.009534,0.660613,0.823738,0.021023,0.565346,0.73692,-0.011366,0.592759,0.772668,-0.015711,0.633908,0.826827,-0.016797,0.671026,0.838818,-0.013836,0.547411,0.752548,0.008905,0.592192,0.79406,0.002508,0.61594,0.837656,0.017598,0.636593,0.850949,0.003719,0.509419,0.784868,0.005547,0.545772,0.807076,0.019348,0.60042,0.842016,-0.00606,0.623267,0.85989,0.015818
H,0.456088,0.698601,-0.003856,0.526249,0.758632,0.000786,0.529028,0.773736,-0.008548,0.528242,0.817599,0.011166,0.522693,0.862788,-0.004865,0.479826,0.726558,-0.015196,0.478817,0.802472,0.006158,0.531061,0.818969,-0.005027,0.496833,0.879206,0.009979,0.467747,0.752125,-0.005673,0.470353,0.796385,-0.018151,0.491155,0.826001,0.003394,0.478757,0.862181,-0.007389,0.439703,0.757369,-0.002518,0.454531,0.79529,0.022127,0.438661,0.830893,-0.006972,0.463421,0.880356,0.000727,0.412533,0.736549,0.006168,0.412514,0.795141,0.005805,0.448491,0.840796,-0.014194,0.41669,0.83774,0.009379
W,0.477377,0.701989,-0.016095,0.542676,0.672891,0.00251,0.551245,0.650516,0.010513,0.626216,0.652646,3.5e-05,0.667023,0.648904,-0.01377,0.504429,0.688662,-5.3e-05,0.583152,0.674984,0.023276,0.59411,0.700151,0.003739,0.646187,0.668799,0.005576,0.534367,0.705898,-0.013464,0.557565,0.689261,0.006514,0.616195,0.698843,-0.00541,0.657343,0.66819,-0.013989,0.561441,0.703829,0.01081,0.588328,0.70924,0.003505,0.583306,0.737595,0.006567,0.667482,0.726317,-0.007929,0.560254,0.73336,0.002115,0.569121,0.73465,-0.000236,0.616103,0.739792,0.002191,0.6562,0.75978,0.002019
L,0.563969,0.664533,-0.007209,0.536704,0.617757,-0.003882,0.575009,0.583093,0.012852,0.615903,0.565299,0.007741,0.650131,0.522428,-0.002154,0.552067,0.640416,0.002492,0.598561,0.5812,-0.009737,0.623845,0.56604,-0.005442,0.654975,0.563325,0.000851,0.570785,0.654367,-0.001956,0.604233,0.594299,0.000808,0.659562,0.596203,0.003306,0.694558,0.558729,-0.003637,0.617007,0.663939,0.005916,0.622968,0.620155,-0.010989,0.628709,0.613981,0.001049,0.688643,0.595706,0.009494,0.578297,0.655165,0.014387,0.644271,0.659838,-0.005295,0.681568,0.61361,-0.007855,0.700531,0.569842,-9.8e-05
H,0.494369,0.710974,0.01937,0.550228,0.763838,-0.003313,0.545938,0.799601,0.001284,0.520377,0.875132,-0.005934,0.528918,0.862393,-0.007689,0.526438,0.750678,0.001981,0.520021,0.810387,0.00196,0.533621,0.82649,0.005773,0.494196,0.876383,-0.001065,0.462287,0.761277,-0.006894,0.481286,0.781717,-0.009724,0.504382,0.841065,0.004259,0.490784,0.865411,-0.002273,0.486603,0.767742,-0.002447,0.483253,0.807449,0.021863,0.469634,0.835312,-0.009267,0.510144,0.891354,0.032545,0.468481,0.764128,0.002403,0.46166,0.807733,-0.024287,0.443251,0.838464,-0.014519,0.449104,0.902298,-0.005321
E,0.495554,0.696322,0.008991,0.504971,0.61279,-0.004232,0.526065,0.58064,-0.007498,0.590262,0.545781,-0.007362,0.598928,0.51753,0.007533,0.538769,0.606003,0.007,0.57411,0.596953,0.010236,0.575489,0.579202,0.00109,0.630527,0.538476,0.005278,0.517111,0.61432,0.000656,0.554466,0.58737,-0.024804,0.58279,0.580874,-0.012092,0.635986,0.521373,0.019266,0.574317,0.611678,-0.02007,0.585141,0.594165,-0.007306,0.618196,0.562002,0.006211,0.639892,0.541506,0.012953,0.58029,0.652371,0.01035,0.589168,0.607913,-0.001899,0.628549,0.604118,-0.000511,0.656926,0.574763,0.001636
K,0.473296,0.701104,0.007755,0.447757,0.629231,-0.01283,0.428478,0.575662,0.002876,0.408238,0.552277,-0.005731,0.423849,0.517142,-0.004736,0.455002,0.630934,0.003565,0.474561,0.614503,-0.001026,0.475699,0.555989,0.006045,0.434194,0.531505,0.00981,0.477729,0.64349,0.00079,0.475214,0.606409,-0.001132,0.480479,0.545249,-0.006398,0.466633,0.501923,-0.017098,0.502521,0.628069,-0.02608,0.50372,0.58568,0.0133,0.464881,0.563015,-0.006961,0.489866,0.53106,-0.003486,0.514249,0.632913,-0.007782,0.525565,0.59795,-0.013389,0.481191,0.571266,-0.002531,0.524482,0.533166,0.005581
E,0.493461,0.723939,0.004015,0.483874,0.643167,-0.004909,0.504657,0.645927,-0.000156,0.570369,0.588981,0.012827,0.571795,0.610456,0.012184,0.495721,0.686035,-0.006938,0.518981,0.655585,0.0097,0.565686,0.632662,0.002138,0.625945,0.572022,0.023356,0.519811,0.698479,0.025406,0.555964,0.649491,-0.012656,0.617128,0.641799,-0.001595,0.615118,0.573994,-0.005811,0.544044,0.708304,3e-05,0.579433,0.663024,0.006424,0.603626,0.645147,0.004162,0.627337,0.637756,0.005476,0.543894,0.70032,0.001304,0.561684,0.689858,-0.006987,0.581007,0.643527,-0.016444,0.633812,0.604621,0.004323
Z,0.514683,0.715196,-0.017537,0.474904,0.717181,-0.007314,0.425469,0.729123,-0.013738,0.390216,0.718774,0.012669,0.364449,0.731388,-0.014388,0.466043,0.728093,-0.000973,0.450144,0.70517,0.001657,0.375854,0.710835,0.01264,0.355648,0.712829,-0.012771,0.475679,0.715803,0.001302,0.413342,0.712538,0.001595,0.384793,0.676702,0.011677,0.377447,0.688271,0.010246,0.465835,0.661892,0.025921,0.406847,0.668283,-0.019013,0.415073,0.665592,-0.010265,0.353454,0.684268,-0.003372,0.473809,0.668763,0.00736,0.436932,0.658288,0.016463,0.384865,0.640683,0.012975,0.325321,0.661684,0.009983
C,0.479833,0.727603,0.02209,0.452754,0.741355,-0.011502,0.408334,0.735276,-0.0059,0.400515,0.739552,-0.006212,0.328034,0.738537,-0.015918,0.461388,0.71429,0.008985,0.419486,0.705085,-0.006698,0.394947,0.721314,0.005957,0.343063,0.713525,-0.01095,0.481139,0.691983,0.012883,0.412817,0.711493,-0.008662,0.354412,0.690694,-0.004824,0.34407,0.700037,-0.015464,0.443035,0.653904,-0.007486,0.41276,0.665571,0.011665,0.380431,0.662143,0.012875,0.347816,0.677819,-0.003643,0.483206,0.666852,-0.01075,0.416579,0.642392,0.008948,0.358727,0.645331,-0.006176,0.341361,0.639143,7.7e-05
C,0.495787,0.684028,-0.000236,0.443938,0.735404,0.005093,0.377445,0.722266,-0.008579,0.325233,0.734718,-0.007336,0.285361,0.738732,0.011995,0.448169,0.704161,0.002844,0.358035,0.705547,-0.017203,0.35867,0.708441,0.009597,0.276952,0.679657,0.017082,0.388536,0.679324,0.012027,0.374112,0.692041,0.013349,0.328532,0.706845,-0.012366,0.31418,0.686486,0.001787,0.401994,0.662629,-0.002798,0.38653,0.671158,0.001945,0.325695,0.694689,-0.01465,0.267622,0.696046,-0.021613,0.438584,0.654604,0.004347,0.377619,0.644966,0.005178,0.363331,0.673131,-0.007123,0.311368,0.637249,-0.002183
I,0.48908,0.650309,-0.004659,0.543388,0.641731,-0.002024,0.566783,0.644891,0.002022,0.595857,0.653491,0.01072,0.656727,0.67322,0.004707,0.499459,0.707205,0.001067,0.548782,0.688631,0.016274,0.612704,0.686104,-0.010262,0.648656,0.645296,-0.003124,0.551865,0.688994,-0.004598,0.574897,0.675871,-0.008396,0.624672,0.726568,0.003076,0.629943,0.68561,-0.006648,0.555979,0.730947,-0.005548,0.567271,0.690588,-0.007217,0.595108,0.712601,-0.009471,0.628699,0.706715,-0.000362,0.537581,0.714481,-0.022167,0.572209,0.715401,0.010937,0.613797,0.733861,0.008102,0.660981,0.746343,0.008445
F,0.491541,0.708535,-0.001728,0.496919,0.698574,0.010772,0.569473,0.656685,-0.005734,0.582466,0.660632,-0.007767,0.657006,0.688617,0.008203,0.524294,0.679204,0.001802,0.544006,0.717793,0.004435,0.614432,0.65829,0.009255,0.647073,0.698049,-0.00072,0.549509,0.708215,1.3e-05,0.56358,0.693528,-0.003676,0.596738,0.66121,0.005577,0.651715,0.694701,0.009723,0.52415,0.739424,-0.008183,0.585141,0.718897,0.007429,0.592948,0.693306,-0.007546,0.641424,0.710307,-0.00623,0.500346,0.728584,-0.016514,0.536931,0.730512,0.006001,0.571705,0.743476,0.018361,0.625195,0.747488,0.007861
Z,0.489738,0.681671,-0.011127,0.466012,0.751556,0.018128,0.418282,0.75503,0.017218,0.392434,0.736865,0.016344,0.353969,0.738403,-0.009598,0.440303,0.717062,-0.003383,0.415437,0.705025,0.002045,0.366895,0.713864,-0.002212,0.314255,0.714222,0.008867,0.438255,0.698531,0.006528,0.431126,0.684625,-0.01007,0.40966,0.68712,0.002506,0.318182,0.713965,-0.012811,0.440336,0.663868,0.000909,0.41303,0.672043,-0.003919,0.370839,0.700447,0.007382,0.341443,0.679902,-0.005697,0.436726,0.650685,-0.011309,0.392512,0.671835,-0.00749,0.361791,0.665939,-0.000119,0.336973,0.670799,-0.006497
S,0.467348,0.704181,0.006502,0.40313,0.652145,0.003036,0.412473,0.599728,-0.003221,0.441541,0.583565,-0.015933,0.402456,0.544794,-0.01321,0.444023,0.651299,-0.002459,0.463255,0.591326,-0.00223,0.430653,0.598986,-0.011665,0.425435,0.547778,0.005495,0.459239,0.66123,-0.011026,0.453694,0.618064,0.011002,0.494602,0.585006,-0.007917,0.473071,0.556587,-0.018302,0.470787,0.670101,-0.012758,0.507721,0.613071,0.008281,0.488808,0.557377,-0.009451,0.495613,0.543459,-0.009958,0.49181,0.674372,-0.008102,0.521434,0.623612,0.006285,0.500085,0.603685,0.014233,0.528728,0.511932,-0.007101
